/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
18264097	Eeles	18264097	GRASP1.0		53		Prostate cancer	Cancer;Prostate cancer;Gender;Male;Reproductive	2/10/08	y	Nat Genet	Multiple newly identified loci associated with prostate cancer susceptibility.		y	y	1854 EA cases + 1894 controls	3268 EA cases + 3366 controls	Illumina [541129]	European	10382	3748	3748												6634	6634																					
18264098	Gudmundsson	18264098	GRASP1.0		5		Prostate cancer	Cancer;Prostate cancer;Gender;Male;Reproductive	2/10/08	y	Nat Genet	Common sequence variants on 2p15 and Xp11.22 confer susceptibility to prostate cancer.		y	y	"1854 EA cases,21372 controls"	"8239 EA cases,7590 controls"	Illumina [310520]	European	39055	23226	23226												15829	15829																					
18282107	Shifman	18282107	GRASP1.0		51		Schizophrenia	Neuro;Behavioral;Schizophrenia;Gender;Male;Female	2/15/08	y	PLoS Genet	Genome-wide association identifies a common variant in the reelin gene that increases the risk of schizophrenia only in women.		y	n	660 Ashkenazi Jewish cases + 2271 controls	"415 Chinese cases + 458 controls, 980 EA cases + 582 controls, 475 EA cases + 2938 controls, 400 EA cases + 434 controls"	Affymetrix [510552]	Mixed	9613	2931	2931												6682	5809		873																			
18311140	Hunt KA	18311140	GRASP1.0		1026		Celiac disease	Inflammation;Gastrointestinal;Celiac disease	3/2/08	y	Nat Genet	Newly identified genetic risk variants for celiac disease related to the immune response.		n	n	767 EA cases +1422 controls	1643 EA cases +3406 controls	Illumina [310605]	European	7238	2189	2189												5049	5049																					
18316681	Uhl	18316681	GRASP1.0	1	0		Methamphetamine dependence	Neuro;Addiction;Narcotics	3/1/08	y	Arch Gen Psychiatry	Genome-wide association for methamphetamine dependence: convergent results from 2 samples.		n	n	"240 cases (140 Taiwanese and 100 Japanese), 340 controls"	NR	Affymetrix [up to 466883] (pooled)	Asian	580	580			580																																
18317468	Sklar P	18317468	GRASP1.0		202		Bipolar disorder	Neuro;Behavioral;Bipolar disorder	3/4/08	y	Mol Psychiatry	Whole-genome association study of bipolar disorder.		n	n	1461 EA cases + 2008 controls	"1227 EA samples (from trios), 365 EA cases + 351 controls"	Affymetrix [372193]	European	5412	3469	3469												1943	1943																					
18325910	Liu YJ	18325910	GRASP1.0		36		Body mass index (BMI)	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index	3/5/08	y	Hum Mol Genet	Genome-wide association scans identified CTNNBL1 as a novel gene for obesity.		n	n	1000 Northern EA individuals	896 French EA obese individuals + 2916 lean individuals	Affymetrix [379319]	European	4812	1000	1000												3812	3812																					
18326623	Gold B	18326623	GRASP1.0		7		Breast cancer	Cancer;Breast cancer;Gender;Female	3/11/08	y	Proc Natl Acad Sci U S A	Genome-wide association study provides evidence for a breast cancer risk locus at 6q22.33.		y	y	"249 cases, 299 controls(Ashkenazi Jewish, non-BRCA1/2 carriers)"	"1193 cases,1166 controls(Ashkenazi Jewish, non-BRCA1/2 carriers)"	Affymetrix [150080]	European	2907	548	548												2359	2359																					
18327256	Doring A	18327256	GRASP1.0		56		"Uric acid levels, in serum"	Quantitative trait(s);Blood-related;Serum	3/9/08	y	Nat Genet	SLC2A9 influences uric acid concentrations with pronounced sex-specific effects.		n	n	1644 EA individuals	9947 EA individuals	Affymetrix [335152]	European	11591	1644	1644												9947	9947																					
18327257	Vitart V	18327257	GRASP1.0		12		"Uric acid levels, in serum"	Quantitative trait(s);Blood-related;Serum	3/9/08	y	Nat Genet	"SLC2A9 is a newly identified urate transporter influencing serum urate concentration, urate excretion and gout."		n	n	794 EA individuals	706 EA individuals	Illumina [308140]	European	1500	794	794												706	706																					
18332876	Kirov G	18332876	GRASP1.0		63		Schizophrenia	Neuro;Behavioral;Schizophrenia	3/11/08	y	Mol Psychiatry	A genome-wide association study in 574 schizophrenia trios using DNA pooling.		n	n	"574 Bulgarian cases, 605 controls, 1148 parents of cases"	NR	Illumina [~550000] (pooled)	European	2327	2327	2327																																		
18344981	Emilsson	18344981	GRASP1.0	1	0	1	Gene expression in adipose and blood cells	Quantitative trait(s);Gene expression (RNA);Blood-related;Weight;Adipose-related	3/16/08	n	Nature	Genetics of gene expression and its effect on disease.		n	n	"150 unrelated EA samples of blood, adipose"	NR	Illumina [317000]	European	150	150	150																																		
18347602	Sullivan PF	18347602	GRASP1.0		28		Schizophrenia	Neuro;Behavioral;Schizophrenia	3/18/08	y	Mol Psychiatry	Genomewide association for schizophrenia in the CATIE study: results of stage 1.		n	n	"417 EA cases + 411 controls, 217 AA cases + 219 controls, 104 (unspecified) unspecified cases + 103 controls"	NR	Affymetrix [492900]	Mixed	1471	1471	828	436								207																									
18360741	Butcher LM	18360741	GRASP1.0		1		Family chaos	Social;Behavioral	3/25/08	y	Behav Genet	The nature of nurture: a genomewide association scan for family chaos.		n	n	469 EA children from low chaos families + 369 children from high chaos families	3529 EA children	Affymetrix [117062] (pooled)	European	4367	838	838												3529	3529																					
18364390	Capon F	18364390	GRASP1.0		242		Psoriasis	Skin-related	3/25/08	y	Hum Mol Genet	Identification of ZNF313/RNF114 as a novel psoriasis susceptibility gene.		n	n	318 EA cases + 288 controls	2361 EA cases + 1927 controls	Illumina [~408000] (pooled)	European	4894	606	606												4288	4288																					
18369459	Liu Y	18369459	GRASP1.0		549		Psoriasis	Skin-related	4/4/08	y	PLoS Genet	A genome-wide association study of psoriasis and psoriatic arthritis identifies new disease loci.		n	n	"218 US EA cases,519 controls"	"1153 US and UK EA cases,1217 controls"	Illumina [305983]	European	3107	737	737												2370	2370																					
18372901	Tenesa A	18372901	GRASP1.0		18		Colorectal cancer	Cancer;Colorectal cancer	3/30/08	y	Nat Genet	Genome-wide association scan identifies a colorectal cancer susceptibility locus on 11q23 and replicates risk loci at 8q24 and 18q21.		n	n	"3004 Scottish cases, 3094 controls"	"14453 cases, 13259 controls: 1175 Canadian cases + 1184 controls, 1373 German cases + 1480 controls, 2253 British cases + 2262 controls, 1789 Israeli cases + 1771 controls, 4400 Japanese cases + 3179 controls, 2169 German cases + 2145 controls, 937 Scottish cases + 941 controls, 357 Spanish cases + 297 controls"	Illumina [541628]	Mixed	33810	6098	6098												27712	20133		7579																			
18372903	Zeggini E	18372903	GRASP1.0		105		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	3/30/08	y	Nat Genet	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.		n	n	4549 EA cases + 5579 controls	24194 EA cases + 55598 controls	Affymetrix & Illumina [2202892] (imputed)	European	89920	10128	10128												79792	79792																					
18372905	Tomlinson IP	18372905	GRASP1.0		14		Colorectal cancer	Cancer;Colorectal cancer	3/30/08	y	Nat Genet	A genome-wide association study identifies colorectal cancer susceptibility loci on chromosomes 10p14 and 8q23.3.		n	n	922 EA cases + 927 controls	17872 EA cases + 17526 controls	Illumina [547647]	European	37247	1849	1849												35398	35398																					
18385676	Amos	18385676	GRASP1.0		28		Lung cancer	Cancer;Lung cancer;Pulmonary	4/3/08	y	Nat Genet	Genome-wide association scan of tag SNPs identifies a susceptibility locus for lung cancer at 15q25.1.		n	n	"1154 US EA cases, 1137 controls"	"2724 UK EA cases,3694 controls"	Illumina [317498]	European	8709	2291	2291												6418	6418																					
18385738	Hung RJ	18385738	GRASP1.0		94		Lung cancer	Cancer;Lung cancer;Pulmonary	4/3/08	y	Nature	A susceptibility locus for lung cancer maps to nicotinic acetylcholine receptor subunit genes on 15q25.		n	n	"1926 (presumed) EA cases,2522 controls"	"2513 (presumed) EA cases,4752 controls"	Illumina [310023]	European	11713	4448	4448												7265	7265																					
18385739	Thorgeirsson TE	18385739	GRASP1.0		16		"Nicotine, smoking quantity"	Neuro;Addiction;Smoking;CVD risk factor (CVD RF)	4/3/08	y	Nature	"A variant associated with nicotine dependence, lung cancer and peripheral arterial disease."		n	n	10995 EA smokers	4848 EA smokers	Illumina [306207]	European	15843	10995	10995												4848	4848																					
18391950	Lettre G	18391950	GRASP1.0		40		Height	Quantitative trait(s);Height	4/6/08	y	Nat Genet	Identification of ten loci associated with height highlights new biological pathways in human growth.		n	n	15821 EA individuals	13671 EA individuals	Affymetrix & Illumina [2260683] (imputed)	European	29492	15821	15821												13671	13671																					
18391951	Gudbjartsson DF	18391951	GRASP1.0		416		Height	Quantitative trait(s);Height	4/6/08	y	Nat Genet	Many sequence variants affecting diversity of adult human height.		n	n	"29820 EA samples, 1148 AA samples"	8541 EA individuals	Affymetrix & Illumina [up to 304226]	Mixed	39509	30968	29820	1148											8541	8541																					
18391952	Weedon MN	18391952	GRASP1.0		44		Height	Quantitative trait(s);Height	4/6/08	y	Nat Genet	Genome-wide association analysis identifies 20 loci that influence adult height.		n	n	13665 EA individuals from UK and Scandinavia	16482 EA individuals 	Affymetrix [402951]	European	30147	13665	13665												16482	16482																					
18403759	Ober C	18403759	GRASP1.0		26		"YKL-40 levels, in serum"	Quantitative trait(s);Blood-related;Asthma;Pulmonary;Chronic lung disease;Inflammation;Developmental;Serum	4/9/08	y	N Engl J Med	"Effect of variation in CHI3L1 on serum YKL-40 level, risk of asthma, and lung function."		n	n	632 EA individuals	206 EA children	Affymetrix [290325]	European	838	632	632												206	206																					
18439548	Ridker PM	18439548	GRASP1.0		45		"C-reactive protein (CRP) levels, in plasma, in women"	Quantitative trait(s);Blood-related;Inflammation;CVD risk factor (CVD RF);C-reactive protein (CRP);Gender;Female;Plasma	4/24/08	y	Am J Hum Genet	"Loci related to metabolic-syndrome pathways including LEPR,HNF1A, IL6R, and GCKR associate with plasma C-reactive protein: the Women's Genome Health Study."		y	y	6345 EA women	NR	Illumina [336108]	European	6345	6345	6345																																		
18439552	Reiner AP	18439552	GRASP1.0		16		"C-reactive protein (CRP) levels, in serum"	Quantitative trait(s);Cardiovascular disease (CVD);C-reactive protein (CRP);Serum;Blood-related	4/24/08	y	Am J Hum Genet	Polymorphisms of the HNF1A gene encoding hepatocyte nuclear factor-1 alpha are associated with C-reactive protein.		n	n	909 EA individuals	5106 EA individuals	Illumina [317000]	European	6015	909	909												5106	5106																					
18445777	Styrkarsdottir U	18445777	GRASP1.0		46040		Bone mineral density (BMD)	Quantitative trait(s);Bone-related;Aging	4/29/08	y	N Engl J Med	Multiple genetic loci for bone mineral density and fractures.		n	n	5861 EA individuals	7925 EA individuals	Illumina [301019]	European	13786	5861	5861												7925	7925																					
18449908	Poduslo SE	18449908	GRASP1.0		6		"Alzheimer's disease, late onset"	Neuro;Alzheimer's disease	4/30/08	y	Am J Med Genet B Neuropsychiatr Genet	Genome screen of late-onset Alzheimer's extended pedigrees identifies TRPC4AP by haplotype analysis.		n	n	29 EA samples + 60 unrelated controls	199 EA patients + 85 spouses	Affymetrix [469218]	European	373	89	89												284	284																					
18451141	Huang	18451141	GRASP1.0		187	1	"Daunorubicin cytotoxicity and gene expression, in blood cell lines"	Treatment response;Cancer-related;Blood-related;Gene expression (RNA);Cell line	5/1/08	n	Cancer Res	Genetic variants contributing to daunorubicin-induced cytotoxicity.		n	n	86 EA (CEU) + 89 AA (YRI) LCL from HapMap	NR	[HapMap] 387417	Mixed	175	175	86	89																																	
18451265	Bouatia-Naji N	18451265	GRASP1.0		17		"Fasting glucose, in plasma"	Quantitative trait(s);Type 2 diabetes (T2D);Plasma;Blood-related	6/19/08	y	Science	A polymorphism within the G6PC2 gene is associated with fasting plasma glucose levels.		n	n	654 French normoglycemic individuals	9353 EA individuals	Illumina [392935]	European	10007	654	654												9353	9353																					
18454146	Chambers JC	18454146	GRASP1.0		57		Waist circumference	Quantitative trait(s);Weight	5/4/08	y	Nat Genet	Common genetic variation near MC4R is associated with waist circumference and insulin resistance.		y	n	2684 Asian Indian men	"7394 Indian Asian samples, 4561 EA samples"	Illumina [308067]	Mixed	14639	2684				2684									11955	4561			7394																		
18454148	Loos RJ	18454148	GRASP1.0		18		Body mass index (BMI)	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index	5/4/08	y	Nat Genet	"Common variants near MC4R are associated with fat mass, weight and risk of obesity."		n	n	16876 EA individuals	60352 EA individuals	Affymetrix [344883]	European	77228	16876	16876												60352	60352																					
18455228	Richards JB	18455228	GRASP1.0		139		Bone mineral density (BMD)	Quantitative trait(s);Bone-related;Aging;Gender;Male;Female	4/29/08	y	Lancet	"Bone mineral density, osteoporosis, and osteoporotic fractures: a genome-wide association study."		y	n	2094 UK EA women	6463 EA individuals	Illumina [314075]	European	8557	2094	2094												6463	6463																					
18462017	Schadt	18462017	GRASP1.0		6499	1	Gene expression in liver	Quantitative trait(s);Gene expression (RNA);Hepatic	5/6/08	n	PLoS Biol	Mapping the genetic architecture of gene expression in human liver.		n	n	427 EA liver tissues	NR	Affymetrix & Illumina [782476]	European	427	427	427																																		
18463370	Maris JM	18463370	GRASP1.0		5		Neuroblastoma	Cancer;Brain cancer;Neuro	5/9/08	y	N Engl J Med	Chromosome 6p22 locus associated with clinically aggressive neuroblastoma.		n	n	1032 EA cases + 2043 controls	720 EA cases + 2128 controls	Illumina [464934]	European	5923	3075	3075												2848	2848																					
18463975	Kibriya MG	18463975	GRASP1.0		74		"Breast cancer, early onset"	Cancer;Breast cancer;Developmental;Gender;Female	5/8/08	y	Breast Cancer Res Treat	A pilot genome-wide association study of early-onset breast cancer.		y	y	"26 EA cases + 26 controls, 3 Hispanic cases + 3 controls, 1 AA case + 1 control"	NR	Affymetrix [200220]	Mixed	60	60	52	2			6																														
18464913	Melzer D	18464913	GRASP1.0		170		"Protein quantitative traits (42 protein levels in fasting serum and plasma: including C-reactive protein (CRP), IL6R, IL18, Lipoprotein A (LPA), GGT, IL1RN, TNFa, adiponectin, albumin, alkaline phosphatase, fibrinogen, ferritin, hemoglobin, insulin, leptin, SHBG, transferrin, thyroid stimulating hormone, MCP1)"	Quantitative trait(s);Blood-related;CVD risk factor (CVD RF);C-reactive protein (CRP);Hepatic;Renal;Weight;Thyroid;Inflammation;Serum;Plasma	5/9/08	y	PLoS Genet	A genome-wide association study identifies protein quantitative trait loci (pQTLs).		n	n	1200 Italian EA individuals	NR	Illumina [496032]	European	1200	1200	1200																																		
